sample_delay_us,air_paired_mV,spanner_mV,air_earlier_mV
1.516999999999999993e+01,-1.386785783132529204e+01,2.127062891566263758e+01,-1.365399999999999991e+01
1.517999999999999972e+01,-1.385963253012047147e+01,2.130353012048191630e+01,-1.297129999999999939e+01
1.518999999999999950e+01,-1.411461686746986999e+01,2.117192530120481564e+01,-1.365399999999999991e+01
1.519999999999999929e+01,-1.408171566265059482e+01,2.115547469879517450e+01,-1.433669999999999867e+01
1.520999999999999908e+01,-1.405703975903613490e+01,2.090871566265060366e+01,-1.365399999999999991e+01
1.522000000000000064e+01,-1.404881445783131788e+01,2.089226506024096608e+01,-1.365399999999999991e+01
1.523000000000000043e+01,-1.424622168674697953e+01,2.065373132530120159e+01,-1.297129999999999939e+01
1.524000000000000021e+01,-1.418041927710843098e+01,2.067018192771084273e+01,-1.365399999999999991e+01
1.525000000000000000e+01,-1.408171566265058594e+01,2.049745060240963923e+01,-1.501939999999999920e+01
1.525999999999999979e+01,-1.406526506024095191e+01,2.046454939759036407e+01,-1.433669999999999867e+01
1.526999999999999957e+01,-1.427089759036143768e+01,2.020133975903613788e+01,-1.365399999999999991e+01
1.527999999999999936e+01,-1.437782650602409085e+01,2.024246626506023716e+01,-1.297129999999999939e+01
1.528999999999999915e+01,-1.426267228915661711e+01,2.000393253012047268e+01,-1.433669999999999867e+01
1.529999999999999893e+01,-1.422977108433734017e+01,2.002038313253012092e+01,-1.433669999999999867e+01
1.531000000000000050e+01,-1.434492530120481923e+01,1.978184939759035998e+01,-1.501939999999999920e+01
1.532000000000000028e+01,-1.433669999999999867e+01,1.980652530120482169e+01,-1.501939999999999920e+01
