sample_delay_us,air_mV
5.460000000000000142e+01,1.501939999999999920e+01
5.469999999999999574e+01,1.638479999999999848e+01
5.479999999999999716e+01,1.501939999999999920e+01
5.489999999999999858e+01,1.433669999999999867e+01
5.500000000000000000e+01,1.638479999999999848e+01
5.510000000000000142e+01,1.433669999999999867e+01
5.519999999999999574e+01,1.638479999999999848e+01
5.529999999999999716e+01,1.501939999999999920e+01
5.539999999999999858e+01,1.570209999999999972e+01
5.550000000000000000e+01,1.638479999999999848e+01
5.560000000000000142e+01,1.501939999999999920e+01
5.570000000000000284e+01,1.433669999999999867e+01
5.579999999999999716e+01,1.638479999999999848e+01
5.589999999999999858e+01,1.570209999999999972e+01
5.600000000000000000e+01,1.433669999999999867e+01
5.609999999999999432e+01,1.570209999999999972e+01
5.620000000000000284e+01,1.433669999999999867e+01
5.629999999999999716e+01,1.570209999999999972e+01
5.639999999999999858e+01,1.433669999999999867e+01
5.650000000000000000e+01,1.433669999999999867e+01
5.659999999999999432e+01,1.638479999999999848e+01
5.669999999999999574e+01,1.570209999999999972e+01
5.680000000000000426e+01,1.501939999999999920e+01
5.689999999999999858e+01,1.638479999999999848e+01
5.700000000000000000e+01,1.501939999999999920e+01
5.710000000000000142e+01,1.638479999999999848e+01
5.719999999999999574e+01,1.433669999999999867e+01
5.729999999999999716e+01,1.433669999999999867e+01
5.739999999999999858e+01,1.638479999999999848e+01
5.750000000000000000e+01,1.433669999999999867e+01
5.760000000000000142e+01,1.570209999999999972e+01
5.769999999999999574e+01,1.570209999999999972e+01
5.779999999999999716e+01,1.433669999999999867e+01
5.789999999999999858e+01,1.433669999999999867e+01
5.799999999999999289e+01,1.638479999999999848e+01
5.810000000000000142e+01,1.433669999999999867e+01
5.820000000000000284e+01,1.570209999999999972e+01
5.829999999999999716e+01,1.433669999999999867e+01
5.839999999999999858e+01,1.570209999999999972e+01
5.850000000000000000e+01,1.570209999999999972e+01
5.859999999999999432e+01,1.433669999999999867e+01
5.870000000000000284e+01,1.570209999999999972e+01
5.879999999999999716e+01,1.433669999999999867e+01
5.889999999999999858e+01,1.570209999999999972e+01
5.900000000000000000e+01,1.433669999999999867e+01
5.909999999999999432e+01,1.433669999999999867e+01
5.919999999999999574e+01,1.570209999999999972e+01
5.930000000000000426e+01,1.433669999999999867e+01
5.939999999999999858e+01,1.570209999999999972e+01
5.950000000000000000e+01,1.570209999999999972e+01
5.960000000000000142e+01,1.433669999999999867e+01
5.969999999999999574e+01,1.433669999999999867e+01
5.979999999999999716e+01,1.570209999999999972e+01
5.989999999999999858e+01,1.570209999999999972e+01
6.000000000000000000e+01,1.433669999999999867e+01
6.010000000000000142e+01,1.570209999999999972e+01
6.019999999999999574e+01,1.365399999999999991e+01
6.029999999999999716e+01,1.501939999999999920e+01
6.039999999999999858e+01,1.433669999999999867e+01
6.049999999999999289e+01,1.570209999999999972e+01
6.060000000000000142e+01,1.365399999999999991e+01
6.070000000000000284e+01,1.365399999999999991e+01
6.079999999999999716e+01,1.501939999999999920e+01
6.089999999999999858e+01,1.365399999999999991e+01
6.100000000000000000e+01,1.501939999999999920e+01
6.109999999999999432e+01,1.365399999999999991e+01
6.120000000000000284e+01,1.501939999999999920e+01
6.130000000000000426e+01,1.365399999999999991e+01
6.139999999999999858e+01,1.570209999999999972e+01
6.150000000000000000e+01,1.501939999999999920e+01
6.159999999999999432e+01,1.433669999999999867e+01
6.169999999999999574e+01,1.570209999999999972e+01
6.179999999999999716e+01,1.297129999999999939e+01
6.190000000000000568e+01,1.365399999999999991e+01
6.199999999999999289e+01,1.501939999999999920e+01
6.209999999999999432e+01,1.365399999999999991e+01
6.219999999999999574e+01,1.501939999999999920e+01
6.229999999999999716e+01,1.501939999999999920e+01
6.239999999999999858e+01,1.365399999999999991e+01
6.250000000000000711e+01,1.501939999999999920e+01
6.259999999999999432e+01,1.297129999999999939e+01
6.269999999999999574e+01,1.297129999999999939e+01
6.279999999999999716e+01,1.501939999999999920e+01
6.289999999999999858e+01,1.365399999999999991e+01
6.300000000000000000e+01,1.433669999999999867e+01
6.310000000000000853e+01,1.297129999999999939e+01
6.319999999999999574e+01,1.501939999999999920e+01
6.329999999999999716e+01,1.501939999999999920e+01
6.339999999999999858e+01,1.297129999999999939e+01
6.350000000000000000e+01,1.297129999999999939e+01
6.360000000000000142e+01,1.433669999999999867e+01
6.369999999999999574e+01,1.365399999999999991e+01
6.379999999999999716e+01,1.433669999999999867e+01
6.389999999999999858e+01,1.365399999999999991e+01
6.400000000000000000e+01,1.501939999999999920e+01
6.409999999999999432e+01,1.433669999999999867e+01
6.420000000000000284e+01,1.297129999999999939e+01
6.429999999999998295e+01,1.501939999999999920e+01
6.440000000000000568e+01,1.297129999999999939e+01
6.450000000000000000e+01,1.297129999999999939e+01
6.459999999999999432e+01,1.501939999999999920e+01
6.470000000000000284e+01,1.297129999999999939e+01
6.479999999999998295e+01,1.501939999999999920e+01
6.489999999999999147e+01,1.501939999999999920e+01
6.500000000000000000e+01,1.365399999999999991e+01
6.509999999999999432e+01,1.365399999999999991e+01
6.520000000000000284e+01,1.501939999999999920e+01
6.530000000000001137e+01,1.365399999999999991e+01
6.539999999999999147e+01,1.638479999999999848e+01
6.550000000000000000e+01,1.365399999999999991e+01
6.559999999999999432e+01,1.570209999999999972e+01
6.570000000000000284e+01,1.365399999999999991e+01
6.580000000000001137e+01,1.570209999999999972e+01
6.589999999999999147e+01,1.570209999999999972e+01
6.600000000000000000e+01,1.433669999999999867e+01
6.609999999999999432e+01,1.570209999999999972e+01
6.619999999999998863e+01,1.433669999999999867e+01
6.630000000000001137e+01,1.365399999999999991e+01
6.640000000000000568e+01,1.570209999999999972e+01
6.650000000000000000e+01,1.638479999999999848e+01
6.659999999999999432e+01,1.365399999999999991e+01
6.669999999999998863e+01,1.433669999999999867e+01
6.679999999999999716e+01,1.570209999999999972e+01
6.690000000000000568e+01,1.501939999999999920e+01
6.700000000000000000e+01,1.570209999999999972e+01
6.709999999999999432e+01,1.433669999999999867e+01
6.719999999999998863e+01,1.638479999999999848e+01
6.729999999999999716e+01,1.570209999999999972e+01
6.740000000000000568e+01,1.433669999999999867e+01
6.750000000000000000e+01,1.433669999999999867e+01
6.759999999999999432e+01,1.638479999999999848e+01
6.769999999999998863e+01,1.501939999999999920e+01
6.779999999999999716e+01,1.638479999999999848e+01
6.790000000000000568e+01,1.501939999999999920e+01
6.800000000000000000e+01,1.638479999999999848e+01
6.809999999999999432e+01,1.638479999999999848e+01
6.819999999999998863e+01,1.501939999999999920e+01
6.829999999999999716e+01,1.501939999999999920e+01
6.840000000000000568e+01,1.638479999999999848e+01
6.850000000000000000e+01,1.638479999999999848e+01
6.859999999999999432e+01,1.501939999999999920e+01
6.869999999999998863e+01,1.433669999999999867e+01
6.879999999999999716e+01,1.638479999999999848e+01
6.890000000000000568e+01,1.638479999999999848e+01
6.900000000000000000e+01,1.433669999999999867e+01
6.909999999999999432e+01,1.638479999999999848e+01
6.920000000000000284e+01,1.501939999999999920e+01
6.929999999999998295e+01,1.638479999999999848e+01
6.940000000000000568e+01,1.501939999999999920e+01
6.950000000000000000e+01,1.433669999999999867e+01
6.959999999999999432e+01,1.638479999999999848e+01
6.970000000000000284e+01,1.570209999999999972e+01
6.979999999999998295e+01,1.501939999999999920e+01
6.989999999999999147e+01,1.638479999999999848e+01
7.000000000000000000e+01,1.501939999999999920e+01
7.009999999999999432e+01,1.570209999999999972e+01
7.020000000000000284e+01,1.501939999999999920e+01
7.030000000000001137e+01,1.433669999999999867e+01
7.039999999999999147e+01,1.570209999999999972e+01
7.050000000000000000e+01,1.570209999999999972e+01
7.059999999999999432e+01,1.433669999999999867e+01
7.070000000000000284e+01,1.638479999999999848e+01
